LANGUAGE,English,German
STR_DESC_OPT0, Mission: Operation Time,"		Mission: Spielzeit"
STR_DESC_OPT1, Mission: Operation Type,"		Mission: Spielart"
STR_DESC_OPT2, Mission: Number of Operations,"	Mission: Anzahl Operationen"
STR_DESC_OPT3, Mission: Enemy Difficulty,"	Mission: Feindliche Schwierigkeiten"
STR_DESC_OPT4, Mission: Halo Limitation,"	Mission: Halo Einschrankung"
STR_DESC_OPT5, Mission: Casualty Limitation,"	Mission: Unfall Einschrankung"
STR_DESC_OPT6, Mission: Player Airdrop Ability,"	Mission: Absprung mit Fallschirm"
STR_DESC_OPT7, Mission: Lift Chopper,"		Mission: Abschleppen mit Heli"
STR_DESC_OPT8, Mission: Recruitable AI,"		Mission: KI Rekrutieren moeglich"
STR_DESC_OPT9, Player: Injury Tolerance,"	Spieler: Schadenstoleranz"
STR_DESC_OPT10,Player: Restrict 3rd Person,"	Spieler: 3. Person Ansicht"
STR_DESC_OPT11,Player: Limitation of Class,"	Spieler: Klassenbegrenzung"
STR_DESC_OPT12,Player: ACE Wounds,"		Spieler: ACE Wounds"
STR_DESC_OPT13,Player: Ranking System,"		Spieler: Rangsystem aktivieren"
STR_DESC_OPT14,Player: Gear by Rank,"		Spieler: Ausruestung nach Rang"
STR_DESC_OPT15,Ambient: Roadside IED Potential,"	Umgebung: moegliche IEDs"
STR_DESC_OPT16,Ambient: Civilians,"		Umgebung: Zivilisten"
STR_DESC_OPT17,Ambient: Random Patrols,"		Umgebung: Aufstaendische"
STR_DESC_OPT18,Ambient: Air Patrols,"		Umgebung: Luftpatrollien"
STR_DESC_OPT19,Player: Max recruitable AI per player,"		something: something dark side"
STR_DESC_OPT19,Player: Vehicle respawn (except bikes and ATVs),"		something: something dark side"
STR_MISSION_NAME,Patrol Ops 2,Patrol Ops 2
STR_MISSION_LOAD,Loading Mission,Loading Mission
STR_MISSION_Welcome,Welcome %1,Willkommen %1
STR_MISSION_Out_Win,Mission Successful. Well Done,Aufgabe Erfolgreiche. gut gemacht
STR_MISSION_Out_lose,Mission Failed.. This Time..,nicht Aufgabe... dieses Mal
STR_MISSION_thanks,Thanks for playing,Danke fur dieses Spiel
STR_MISSION_veh_notice,"To fully repair and rearm vehicles, move near a vehicle service point and select the repair option","Um vollstandig zu reparieren und aufzurasten Fahrzeugen, in der Nahe ein Fahrzeug Service-Point zu bewegen, und wahlen Sie die Option Reparieren"
STR_Client_BKPK_Select,Select a Backpack from the list,Wahlen Sie einen Rucksack aus der Liste
